,sentence
393,Nze nnanyumirwa nnyo ku lunaku olwo.
394,Ebyokulya byali tebimala bulungi ku lunaku olwo.
395,Omusomesa yeetondera abantu bonna abaali bafisse emmere ku mukolo.
396,Twafuna okusumbuyibwa kubanga omwami eyakola ku mmere yali takwata ssimu.
397,Okimanyi nti nnamukubira emirundi egyasukka mu makumi ataano?
398,Lwaki ekyemisana mwakirya obudde nga buyise?
399,Nze nnalowooza nti kaali kakodyo okutusiibya enjala.
400,Nze ne muko wange ffe twali twaniriza abagenyi ku lunaku olwo.
401,Olunaku olwo lwansumbuwa kubanga nali mulwadde.
402,Twafuna okusoomoozebwa abantu abamu bwe bataafuna mmere.
403,Ababoola emmere ku lunaku olwo beekanga yonna bagiridde.
404,Nze gwe mulundi gwange ogwasooka okugabula emmere ku mukolo.
405,Twasala amagezi kubanga ffe abagabuzi twasooka kuggyako yaffe.
406,Tetuba kusala magezi ago twali tujja kufikka naffe.
407,Jjukira ku lunaku olwo twakeera nnyo ate twetawula nnyo.
408,Nze ate nnatambula nnyo kubanga ebintu byonna baali babituma nze.
409,Nze ku lunaku olwo nnakizuula nti okwerabira kya buntu.
410,Ani yali amanyi nti nange ndifuna omukazi omulungi nga ono?
411,Abasajja baatuuka kikeerezi nga omusomesa yenna ajjudde obusungu.
412,Okimanyi nti abasomesa ku masimu gaabwe kubeerako mitwalo gya ssente?
413,Omuntu ono gwe tubanja asaanye atusasule ssente zaffe.
414,Mukazi wange yeerabira abantu abamu n'abayitamu erinnya lyange.
415,Omukazi eyatwazika emmeeza ku lunaku olwo tetwamuwa ku mmere.
416,Ebyokunywa byali bingi era ne tubyeyongeza.
417,Ku njala ennuma kati oyinza okulowooza nti sirekanga mmere ku ssowaani.
418,Ffenna tusaanye tukimanye nti okulya tekusaanye kutwemazaamu.
419,Mpulira nga neesunze ennyumba empya gye tugenda okuzimba.
420,Njagala buli ssente zange ze nkwatako zonna nzikuterese.
421,Okimanyi nti mu kusooka nali mmanyi nti olimba?
422,Ndeeteraayo ku suukaali nga ova mu kibuga.
423,Omusajja oyo talina mpisa ate nga muntu mukulu.
424,Mukazi wange ennaku zino sikyamutegeera bulungi.
425,Oba olina ekitali kituufu ku bulamu bwo?
426,Ki ekikuleetedde okugejja ate nga obadde tolya?
427,Twandifunyeeyo abantu nga bataano batubuulire we baatuuse mu kunoonyereza.
428,Omusango gwe yawaaba mu kkooti na kati tegunnasalwa.
429,Okwewolereza kwe kwali tekuliimu ggumba wadde.
430,Nasanga abaana bataano nga bali ku munnaabwe bamukuba.
431,Ekitundu ekisinga obukulu ku mubiri gw'omuntu okimanyi?
432,Yakola ekikolwa kibi okwoleka ebyama bya mukyalawe.
433,Omuntu atali mwesimbu tabeereka naye.
434,Mu nsi eno twetaaga nnyo okukolagana n'abantu naddala abo abatuliraanye.
435,Nze mbadde nsuubira nti ofuneyo ku kirowoozo ekirala.
436,Nja kubaawo singa munaaba munneetaaze okubayamba.
437,Ekibala kino kiwooma nnyo era nze ndowooza nti tukigule.
438,Nze ku lwange ndowooza nti tuli wano kuyiga.
439,Bw'otunulamu omuwala oyo alina ky'akwongerako?
440,Nze nsaba nnyo tweyambise olulimi Oluganda.
441,Sirowooza nti kye ntegedde naawe ky'otegedde.
442,Ebikozesebwa mu mulimu guno bitono nnyo.
443,Lwaki tokolerera embeera ennungi gy'oyagala?
444,Omukyala oyo ayogedde bulungi nnyo.
445,Okwawukanako ku balala ye teyalina kyekubiira mu nsala ye.
446,Abalala mulowooza mutya ku bintu ebyo bye twakamala okwogerako?
447,Sooka obeeko ky'okola nga tonnaba kugenda kuzannya.
448,Omupiira gwa leero gunnyumidde nnyo.
449,Ebintu by'akoledde eggwanga lino bitono nnyo.
450,Nze mbadde nsuubira nti mu mukwano eky'emyaka si kikulu.
451,Abawandiisi abaasooka baali tebakoze kunoonyereza kumala.
452,Lindako okugenda kirabika anaatera okukomawo.
453,Wano walungi okubeera naye waliwo ebiwoggana.
454,Omukazi atayagala kufumba obeera owasa waaki?
455,Embwa eziboggola ebiseera ebisinga ziba teziruma.
456,Omuwendo gw'essaawa eno sisuubira nti ogumanyi.
457,Bwe yafuluma ekibiina naffe ne tufuluma.
458,Mulekere awo okukulembeza ssente okusinga obuweereza.
459,Abantu baagenze okumulonda nga bamwesiga.
460,Ku babiri abo ani asinga okukola mu kibiina?
461,Abakola ebikolwa ebyesittaza abantu basaana kusibwa.
462,Gwe towulira nsonyi okweyambulira mu bantu?
463,Ekirwadde kisse abantu abawera mu mawanga g'ebweru.
464,Buli muntu alina okubeera n'ebirooto ebizimba.
465,Munnange oyo ava okwogera ayogeredde ddala bulungi.
466,Amasannyalaze bwe gavaako wano wonna wajjula enzikiza.
467,Ebyo by'oyogedde byonna bituufu.
468,Nsaba tutunule mu nsonga z'omwami ono era tumuddemu.
469,Mu kulaba kwo ki ekituufu ekirina okukolebwa?
470,Mufeeyo nnyo okulaba nga mufuna ekiwandiiko kino.
471,Nze bwe ndaba omwana akaaba mmanya nti enjala emuluma.
472,Ekipapula kino kirungi nnyo.
473,Muteekwa okweyambisa obulungi obuyambi obubaweereddwa.
474,Kye tuliko olunaku lwa leero kikulu nnyo.
475,Emitendera gye yayitamu okufuuka omukulembeze gyali gitegeerekeka.
476,Wasinzidde ku ki okulonda omusajja oyo nga omukiisewo?
477,Omusajja ono mulungi mu ngeri gy'akolamu emirimu gye.
478,Mu butuufu tusaanye tubeeko ebintu bye tuddiza abasomesa baffe.
479,Mpulira ekiwuubaalo ky'amaanyi nnyo okuva lwe wagenda.
480,Wagenze okutuuka nga nze nnatuuse dda.
481,Embeera eriwo mu ggwanga kati buli omu tagitegeera.
482,Oteekwa okuba nga wasomako okulondebwa mu kifo kyonna.
483,Sigaanye kukuyamba naye nnina eby'okukolako bingi nnyo ennaku zino.
484,Olinawo ekibanja ky'oyinza okunguza nkuwe ssente?
485,Amafuta agali mu mmotoka eno tegatutuusa Masaka.
486,Ekibanda ky'amanda bwe kikwata omuliro kyonna kisaanawo.
487,Lwe nnakulaba tewalina ssente.
488,Njagala nnyo okumanya ebintu ebikukwatako.
489,Abakyala abayonsa tebasaanye kuba nga bakola nnyo.
490,Ssente kye kimu ku bintu ebyonoonye obuwangwa bwaffe.
491,Ku bantu abali wano ani alina ekizimbe?
492,Obadde olowooza ssente z'okuzimba ani agenda okuzikuwa?
493,Obulumi abakazi bwe bayitamu nga bazaala bungi nnyo.
494,Baaleese omusomesa omulala naye tamanyi kyakukola.
495,Olinawo ky'oteesa oba ky'owabula ku bintu ebiteeseddwa?
496,Oteekeddwa okwetegekera obukadde bwo ng'okyali muto.
497,Naye ssente ezo lwaki tebaziwa abantu ne bazigabana?
498,Obadde okimanyi nti gwe alondeddwa nga omusika w'omugenzi?
499,Embaga y'obuwangwa kye ki?
500,Nze ndowooza obwavu y'emu ku nsonga ezivuddeko obuwangwa okusaanawo.
501,Leeta wano ebintu ebyo kuba nze nnabikutumye.
502,Maama wange mulwadde ennaku zino.
503,Omukyala gwe nnina ennaku zino simanyi mbeera gy'ayitamu.
504,Mpulira nga njagala nnyo okwegatta ku ssomero eryo.
505,Ani yakugamba nti wano tukkiriza ebintu ebyo?
506,Leeta omwana wange kuba njagala akule ne banne.
507,Olowooza abasajja okuzaala ebweru kirina obuzibu?
508,Ekibaddewo mu bbanga eritali lya wala kiyinza okuddamu.
509,Obulamu bwe nnamugamba kati yabutuukamu.
510,Wano we tuli ndowooza buli muntu amanyiiwo bulungi.
511,Mpulira njagala ennyama naye amateeka teganzikiriza.
512,Omubaka bukyanga alondebwa tateesangayo wadde ekiteeso ekimu.
513,Lwaki abakazi abasinga balina embuto ebiseera bino?
514,Olina okuba nga olina ebikwogerako okusobola okutambula ekiro.
515,Okuwasa kijja kumbeerera kizibu nnyo kuba nkyayagala okusoma.
516,Obudde bwe buti bw'obeera ewaka obeera okola ki?
517,Awantu wano singa obeera nga ogulawo wandiguzeewo ssente mmeka?
518,Obulamu bwange ssaagala muntu ambuuza bibuuzo bingi.
519,Omukyala oli yasooka kuggyamu ssente ze nga tannatwazika mmeeza.
520,Yali mukalubo era omusomesa yasooka kumwegayirira okutuwa emmeeza.
521,Essaawa zaagenda okuwera kkumi n'ekitundu nga tumaze okugabula.
522,Abamu ku baalya baalowooza nti twali tufisse emmere.
523,Omukulu eyatuwa amagezi nti musooke muggyeko emmere yammwe nnamusiima.
524,Ekifo twagenda okukituukako nga kyonna kiyonjo.
525,Lwaki abakozi abamu beefuula abakambwe ennyo ku mirimu?
526,Omusajja omuyivu yajja ng'amaze gambala by'asanze.
527,Mukwano gwange bw'alabye erinnya lyange ku lupapula n'ankubira essimu.
528,Ebintu ebisinga tubibuusa amaaso naye nga bikulu.
529,Okimanyi nti ebigezo by'abayizi byakomyewo?
530,Ku luno abayizi abawala baasinze abalenzi.
531,Lwaki abaana abalenzi ennaku zino bakola bubi mu bigezo?
532,Neewuunyizza okuwulira nti muzibe yakoze bulungi.
533,Embeera eri mu ggwanga ogyogerako ki?
534,Lwaki abantu ennaku zino bakubwa nnyo amasasi?
535,Omubaka yayombye mu kuziika omuwagizi we.
536,Omusajja yeeyamye okuweerera baana b'omugenzi.
537,Ekifo ekisinga obukulu mu kibuga okimanyi?
538,Omukulu w'essomero yabadde musanyufu nga ebibuuzo bikomyewo.
539,Atalina maanyi okimanyi nti tagwa ddalu?
540,Obudde buno sisuubira muntu kubeera nga yeebase.
541,Omusomesa oyo alina olugezigezi lungi nnyo.
542,Naye kye ndowooza nti tewagitadde omwo.
543,Ate bw'entyo bwe nnabuza akasumuluzo kange.
544,Nga leero tonzuukusizza?
545,Okimanyi nti obudde bumpiseeko?
546,Bassebo mwebale nnyo okutuyamba.
547,Mwebale okuwuliriza omulanga gwa gavumenti.
548,Ebbugumu nga lingi nnyo ensangi zino.
549,Omwana abadde akaaba omuwulidde?
550,Eno ente evaamu amata mangi nnyo.
551,Obudde nga bukyali nze okufumbirwa.
552,Obukadde obusukka mu makumi ataano bubbiddwa.
553,Omusajja gwe waleese tamanyi kulima.
554,Omuti gwe baabadde batema gwagudde ne gukuba enju.
555,Oteekeddwa okunnyambako mu buli mulimu gwe mbeera nkola.
556,Tulina okubeera nga tukolagana bulungi nnyo.
557,Naagenda okutuuka ewaka nga obudde buyise.
558,Okimanyi bulungi nti gwe mulungi asingayo ku nsi kuno?
559,Abasinga obungi baali bamaze okwewandiisa.
560,Buli yeesimbyewo ayimirireko tumulabe.
561,Omugenyi omukulu atuyambe awuubire ku bantu abali wano.
562,Oba baamuleese ng'omukulembeze mu kifo kino?
563,Omusaala gwange mutono wadde nga nkola nnyo.
564,Lwaki omusajja oyo talina mukisa wadde?
565,Ebiviirako abantu okufa ennaku zino bingi nnyo.
566,Ababadde balowooza nti omusaala gutuuse mulindeeko.
567,Buli kintu nze mmaze okukikolako.
568,Omukama mulungi obudde bwonna.
569,Buli musomesa asaanye awandiike mu ngeri ennungi.
570,Obulwadde obubadde bumuluma bubadde buganda.
571,Kiki ekisinga okukunyiiza ku nsi kuno?
572,Olunaku lwo olwasooka ku ssomero lino lwali lutya?
573,Nze nali sinnaba kukola kintu kyonna ku ssomero lino.
574,Muwogo kimera kirungi era neegomba okukirima.
575,Weegomba omuntu alya akawunga bulijjo?
576,Abakulu abaasooka ku ssomero lino baatandikawo omusingi omulungi.
577,Oteekeddwa okusasula buli muntu akoze.
578,Bwe nnalaba nga ayogera ebitakwatagana nze ne ntambula.
579,Vvaawo gwe ebintu by'oyogera si bituufu.
580,Ekintu ky'oyogera si kituufu era tewali ayinza kukkiriza.
581,Ono bwe yagambye nti tugende ne tusimbula.
582,Wano otera kutuukawo ssaawa mmeka?
583,Ekintu kye wali oyogerako okimanyi nti tekyali kituufu?
584,Osiibye otya eyo ssebo?
585,Waliwo ekintu ekinnumya omutwe ennaku zino.
586,Osobola okunfunirayo ku buyambi?
587,Ebyokulya bye mutuwa ennaku zino nga tebitumala bulungi?
588,Kati ani atwala ebyo byonna ebintu?
589,Olunaku lwe wava wano twali tumanyi gwe atutte ekitabo.
590,Eyakola ku nsonga ezo ajja kutuwa okusalawo okwenkomeredde.
591,Muveeyo abaana bano bayitewo.
592,Lwaki muyimiridde wano mu kkubo?
593,Temusobola kufunayo kifo kirala we muteeka bintu ebyo?
594,Ani yateekateeka omukolo gw'embaga ogwo?
595,Sitera kwesiga bantu naye gwe nkwesiga ekigenze ewala
596,Bayizi banne basaanye bamulabireko ku ngeri gy'akolamu ebintu bye.
597,Kati obadde olowooza nti ani agenda okukuyambako?
598,Gwe mu ndowooza yo olulimi Oluganda kye ki?
599,Wagenzeeko mu ddwaliro okulaba obulwadde obukuluma?
600,Buli musomesa asaaanye ateeketeeke by'alina okusomesa mu budde.
601,Ennaku zino ssaawa ewera emu ey'akawungeezi nga omusana gukyayaka.
602,Gwe nga gwe olowooza nti ki ekiviiriddeko kino?
603,Nali ndowooza nti buli gwe basiba aba n'omusango.
604,Neeyongedde okuzuula nti abantu abasinga mu nsi muno bazibu.
605,Ekisooka kya byonna omusajja oyo talina mpisa.
606,Lwaki olowooza nti omukazi y'alina omusango?
607,Osaanye osooke owulirize endowooza z'abantu abo bombi.
608,Obukulembeze si linnya wabula buvunaanyizibwa.
609,Tubalabula nti tukoze ekisembayo naye mulindirire ekinaddako.
610,Tusanyuse okukulaba ssebo ku mukolo guno.
611,Bannyabo ne bassebo mbasaba mumpulirizeeko katono.
612,Mu kifo ky'okwemulugunya okoze ekintu ekituufu.
613,Awo kati ogoberedde amagezi gange ge mbadde nkuwa.
614,Lwaki olugave lulina ensonyi nnyingi?
615,Omukyala gwe nnasooka okwagala yali yantamya abakazi bonna.
616,Weebale nnyo okubeera omuntu omwesimbu ennyo.
617,Okimanyi nti nze alina eddaame lye mubadde munoonya?
618,Awo kati obuuza kibuuzo oba oyogera bw'ogezi?
619,Oteekeddwa okukozesa omukisa gw'olina nga okyalina obudde.
620,Ensonga ezisinga tubadde tuzoogeddeko era kati tusobola okugenda.
621,Waliwo omuntu alinawo ekibuuzo kyonna?
622,Ani aganyulwa mu kwebuuza ku bantu kuno?
623,Kati awo amagezi ge mbawa mugende bugenzi.
624,Omupiira gwe baamukubye gwabadde gwa lusaazisaazi.
625,Musaanidde mulekere awo okunnyooma kuba si kirungi.
626,Otera kwebaka ssaawa mmeka nga oli ewaka?
627,Baako kye weekolerawo nga obudde bukyali.
628,Osaanye weetereeze nga obudde bukyali.
629,Oyo omukyala tatulinaako buzibu bwonna kuba ffe twogera mazima.
630,Omukyala oyo olabika nga omwagala nnyo.
631,Naye olina obusobozi okukola omulimu ogwo?
632,Abantu abasinga bafumbiddwa naye ye tannafuna musajja.
633,Ebiseera ebisinga nkeera enjala ennuma nnyo.
634,Oyinza okutwala ssente zino mu kibuga ne bazivungisa?
635,Yaleka abaana be mu maka agaasooka nga bakyali bato nnyo.
636,Okusosola mu langi si kikolwa kirungi mu bazannyi b'omupiira.
637,Ensi ekyakula ebeeramu obuvuyo mu bukulembeze bwayo.
638,Omuntu amanyi ekintu ekyo nti kituufu awanike omukono.
639,Vvaayo mu kkubo banno bayitewo kubanga tebalina we bayita.
640,Ebyo bye muwulidde bigambo bitukuvu.
641,Okimanyi nti okutangira kusinga okuwonya?
642,Endwadde ezisinga wano mu Uganda ziva ku bugyama.
643,Ani eyakugambye okutwala omuggo gwange?
644,Omubbi abba naye ye tayagala bamubbe.
645,Ebinyonyi ebyazimba ku muti guno bituwogganira nnyo.
646,Wali olabye ku nswera ebuuka ekiro?
647,Nze nno kati mpulira nga nnumizibwa mu bulago.
648,Essaawa zinaatera okutuuka tusisinkane n'omwagalwa wange.
649,Siyinza kwebaka nga tetunnaba kwogera na mukazi wange.
650,Oluusi ebintu bye tukola birowoozesa abantu nti nze naawe tuli balongo.
651,Ennaku kati ziweze bbiri nga tetwogera ne maama wange.
652,Obadde okimanyi nti emmotoka ezisinga mu Uganda zivugibwa basajja?
653,Mu mirembe egyasooka abakazi baali tebakirizibwa kulya nkoko wano mu Buganda.
654,Lwaki edda omwana omuwala yali talina ddembe lya kusoma?
655,Nze wadde bagamba nti oli mubi naye nkwagala.
656,Tofaayo ku bigambo abantu abalala bye boogera kasita gwe obeera ng'omanyi ky'oyagala.
657,Omulundi gwe nnasooka okujja wano nnasooka kubula.
658,Abakulembeze abazannyira ku by'obuwangwa basaana kuwera.
659,Nze nnabadde siri mu ggwanga we baabikidde nti omusajja oli afudde.
660,"Kati bwe kiba nti gwe mukulu ku ye, lwaki gwe tolina mwana?"
661,Ekyo ekirowoozo kirungi nnyo era ndi musanyufu nti olina endowooza efaanana etyo.
662,Olunaku lwe twasisinkana olwasooka saasuubira nti twali tuyinza okutuuka eno yonna.
663,Oyo omwana alina amaaso manene naye talaba wadde na kintu kimuli kumpi.
664,Abo abaana ani abazaala?
665,Omuzadde atalina buvunaanyizibwa abeera asaana kukangavvulwa.
666,Omukulembeze omulungi alina okubeera nga awuliriza ebintu ebiruma abantu.
667,Ezo zonna ennaku obadde okola ki?
668,Abalenzi abato ennaku zino beenyigidde nnyo mu bumenyi bw'amateeka.
669,Ebintu bye nnakugamba okukola wabimaliriza?
670,Kati mubadde mulowooza nti ani agenda okubaleeta?
671,Omusajja oli yabadde talina mpisa wadde n'akatono.
672,Ebbaluwa gye nnamugambye okuwandiika yamulemye.
673,Oteekeddwa okweyama ebintu nga onaabituukiriza.
674,Ekyo kyo mbadde sikisuubira nti osobola okukikola.
675,Omuntu atalina ssente owulira nga akumalamu amaanyi.
676,Kaakati ki ekigenda okuddako bwe tumaliriza wano?
677,Ebyo ebikuta mubiterekere ente zange zijja kubirya.
678,Oluzzi luno luli wala naye amazzi gaalwo malungi nnyo.
679,Kale lwaki wali ommalira obudde ate nga ekituufu okimanyi?
680,Nze omusajja atalina ssente siyinza kumuzaalira mwana.
681,Baategeka akabaga k'amazaalibwa naye nze saasobola kukabaako.
682,Waliwo omuntu gwe nninda naye siraba bw'atuuka.
683,Olwa leero mmaze ne nteekayo empapula zange.
684,Obuyigirize bwe nnina bunsobozesa okwesimbawo ku kifo kyonna mu ggwanga.
685,Obujjanjabi bwe baamuwa bwali bulungi nnyo.
686,Omusawo wa wano alabika nga atagenda kutukolako.
687,Ekikulu kiri nti buli muntu alina obuyinza okwesalirawo.
688,Lwaki abaana b'abagagga abasinga tebaagala kusoma?
689,Okuva lwe yafuna ssente kati takyayagala na kugenda mu kyalo.
690,Yazimba akayumba nga katono nnyo.
691,Essomero lino ddene nnyo era abaana bangi balyagala.
692,Ekimu ku bye nneetaaga emmotoka kw'eri.
693,Oyinza okwesanga nga waliwo omuntu atamanyi kufumba.
694,Enkoko z'amagi zibiika nnyo okusinga ez'ennyama.
695,Ekkovu lirabika nga lyayise wano.
696,Obulwadde bwaluma omukazi okutuuka lwe yafa.
697,Ekimuli ekisinga obulungi kye muba muleeta wano.
698,Oba ani eyayiiya ssente?
699,Buli muntu afuba nnyo okukola abeereko obulungi mu nsi eno.
700,Lwaki abawamba abantu basaba ssente ate bwe bamala ne batta omuntu oyo?
701,Obusungu si bulungi mu bantu abafumbo.
702,Omunnyo gwa leero nga gukaawa nnyo?
703,Ekifo kino wabula kifunda nnyo.
704,Buli muntu asaanye abeere n'empisa ennungi.
705,Eddembe lye tulina ensangi zino terigambika.
706,Omuzadde omulungi alina okuweerera abaana be.
707,Nze nali ndowooza nti otegeera.
708,Wabula onswazizza okugwa akabuuzo kano.
709,Ekyuma kino obwedda kinsumbuwa naye kati kiteredde.
710,Genda olabe oba omukazi oli akomyewo.
711,Eggulo nnabadde nkooye nnyo.
712,Ebintu ebisinga byetaaga muntu kubeera mugumiikiriza nnyo.
713,Ebijiiko bino mugire mubyozeeko.
714,Aludde nga ampalana era kati giri mu myaka etaano.
715,Bwe ndikomawo nga toliiwo sijja kubuuza gye walaze.
716,Ekibumbe kino kirungi okuteeka ewaka.
717,Omukulu atuuse mu kaseera kano.
718,Oteekeddwa okuwandiika ebbaluwa entuufu.
719,Menya ebintu ebyetaagisa mu bbaluwa eno.
720,Obulungi bw'essomero lino obulabira wa?
721,Kiki ekitadde obunkenke mu bayizi b'ekisulo.
722,Ojjukira omuliro ogwali mu kizimbe kiri?
723,Ejjo nnalabye ebintu nga byonna byonooneka biggwawo.
724,Oteekwa okuteeka mu bantu abakulu ekitiibwa.
725,Abayizi bano bateekeddwa okweyisiza obulungi ku bannaabwe.
726,Ebikoola bino birungi nnyo
727,Buli kikoola ekirungi kiteekeddwa okuba nga kya kiragala.
728,Ebikoola ebyengedde tebibeera birungi ku kimera.
729,Obadde okimanyi nti ekimera kissiza mu kikoola?
730,Nze nnalwawo okumanya nti omukulembeze oyo teyasoma.
731,Kati obadde oyagala kukola otya ku nsonga eyo?
732,Omuyizi wange gwe nnaleese okusomera wano nga simulaba.
733,Ebiseera ebisinga abantu abakulu beeyisa nga abaana abato.
734,Ani yakuyambyeko ng'olonda by'ogenda okusoma?
735,Ye abange olina kigendererwa ki okusoma Oluganda?
736,Ekyo kye wakoze nabadde sikikusuubirizaamu munnange.
737,Munnange mulwadde era nsuubira okugendayo okumulabako.
738,Tulina okuyamba abo bonna abali mu buzibu.
739,Nnyumirwa nnyo akabanga ke tumala nga tuli ffembi.
740,Lwaki toyagala nkulindeko tuddeyo ffenna?
741,Nzijukiza ku bintu bye twasembayo okusoma.
742,Wabadde olaze wa ekiro?
743,Lwaki mutera okwerabira ebintu bye tubeera twakayogerako?
744,Obujoozi bwe baakozesezza bwabadde bungi nnyo.
745,Ffene kimu ku bibala ebisinga okuwooma.
746,Lwaki bino byo mubitwala nga eby'okusaaga?
747,Nze mu kusooka nali mmanyi nti buli gwe basiba aba mubbi.
748,Omukazi omubi yazadde omwana omulungi ennyo.
749,Bino byonna mbikola naye gwe olinga atabiraba.
750,Gye ndaga waliyo omuntu asinga okunsanyusa.
751,Lwaki ebbaluwa yo teriiko ndagiriro yonna?
752,Kati wano ne bwe nnyinyuka omulimu gumaze okuwera.
753,Ebintu byonna ebikoleddwa ekiseera kino sirina kye mbimanyiiko.
754,Ani avunaanyizibwa ku kitongole ekyo?
755,Mu butuufu mpulira nga ontamidde ddala mu bulamu bwange.
756,Nakongezakikolwa ki esinga okukaluubiriza abaana okutegeera?
757,Ebiseera mmwe twagendera okuziika akasana kaali keememula nnyo.
758,Abaaleeta omwana eyali yazaalibwa omugenzi ebbali baali bakambwe.
759,Obukambwe bulungi naye waliwo abantu abataagala kubakambuwalira.
760,Ani yasengula abantu abo okuva ku bibanja byabwe?
761,Olukwe oluyitiddwamu okumuggya mu ntebe lubadde luzibu nnyo.
762,Nnakanda kumugamba alekere awo okutambula ekiro nga tawulira.
763,Mu bulamu bwange njagala nnyo okuwa ekitonde ekikyala eddembe.
764,Lwaki ebikolwa by'okutyoboola eddembe ly'obuntu bingi nnyo ensangi zino?
765,Osuubira ki ekiviiriddeko obutabanguko mu maka mu bissera bino?
